idx,metrics,AD_type,y_pred,y_true
438,2.447065,OAD,71.29223,93.0
439,3.8275936,OAD,70.88402,83.0
440,6.0673957,OAD,84.23744,97.0
441,1.8935521,IAD,81.29268,95.0
442,2.668761,OAD,75.51209,83.0
443,0.80349594,IAD,88.5664,95.0
444,2.4727094,OAD,88.80941,93.0
445,2.1395566,OAD,86.34135,92.0
446,3.152097,OAD,90.414536,96.0
447,6.3250585,OAD,77.549065,91.0
448,2.790053,OAD,69.50558,89.0
449,2.9721231,OAD,71.99186,60.0
450,10.887946,OAD,57.461857,20.0
451,3.034182,OAD,56.799892,69.0
452,3.2760777,OAD,66.840614,73.0
453,3.364903,OAD,62.396763,77.0
454,2.1234508,OAD,66.685776,81.0
455,6.2772846,OAD,60.096817,75.0
456,2.6312244,OAD,55.163513,73.0
457,2.7245867,OAD,62.764755,78.0
458,4.3335867,OAD,53.77155,85.0
459,4.7131057,OAD,60.98421,79.0
460,3.3486478,OAD,62.87553,82.0
461,6.473371,OAD,62.27684,71.0
462,12.454773,OAD,57.919685,74.0
463,7.593522,OAD,69.32226,41.0
464,4.054845,OAD,62.9952,25.0
465,4.775812,OAD,62.298553,70.0
466,2.6900768,OAD,62.08488,20.0
467,3.4130762,OAD,62.486904,70.0
468,3.2124193,OAD,64.49096,24.0
469,3.8799005,OAD,62.339333,70.0
470,1.798947,IAD,27.009285,50.0
471,3.072614,OAD,32.629684,98.0
472,4.2944922,OAD,54.426937,11.0
473,17.932024,OAD,59.169765,10.0
474,5.7462177,OAD,19.58266,90.0
475,6.9110994,OAD,64.3564,11.0
476,5.0687575,OAD,78.90002,26.0
477,3.4128165,OAD,24.248243,18.0
478,3.2035842,OAD,25.330729,15.0
479,3.75168,OAD,29.847624,10.0
480,2.7931626,OAD,30.518621,85.0
481,4.8798046,OAD,25.792168,90.0
482,2.5906925,OAD,46.267796,79.0
483,1.9721756,IAD,40.0385,50.0
484,1.7011443,IAD,44.659927,65.0
485,3.072614,OAD,32.629684,98.0
486,3.1579463,OAD,34.73049,92.0
487,3.756277,OAD,38.213825,92.0
488,2.3689868,OAD,34.297466,78.0
489,3.1317506,OAD,40.886055,89.0
490,4.041075,OAD,42.869812,90.0
491,1.855104,IAD,34.057278,89.0
492,1.0140013,IAD,37.97646,90.0
493,3.7688487,OAD,44.988354,91.0
