idx,metrics,AD_type,y_pred,y_true
1907,7.774715,OAD,31.15387,0.0
1908,6.067479,OAD,43.214775,0.0
1909,5.96917,OAD,37.40314,59.15
1910,6.5275264,OAD,33.86198,84.0
1994,2.5977156,OAD,74.61322,18.0
1995,2.1878254,OAD,55.038948,36.0
1996,3.3689194,OAD,55.756622,78.0
1997,1.5554616,OAD,54.362186,97.0
1998,5.1992025,OAD,47.947723,96.0
1999,3.1703365,OAD,40.085747,98.0
2000,3.0920367,OAD,53.911983,85.0
2001,2.5270634,OAD,50.447014,82.0
2002,3.0667171,OAD,37.14156,70.0
2003,2.3992982,OAD,35.774345,71.0
2004,2.8615131,OAD,35.91462,73.0
2005,4.506536,OAD,37.5507,54.0
2006,4.3053675,OAD,28.436424,58.0
2007,3.8983655,OAD,36.285774,55.0
2008,2.9065115,OAD,37.156006,10.0
2009,1.9642371,OAD,35.26929,0.0
2010,2.9198678,OAD,30.804264,6.0
2011,3.0667171,OAD,37.14156,67.0
2012,2.0294783,OAD,30.377947,4.0
2013,3.1703365,OAD,40.085747,95.0
2014,4.4004,OAD,44.83176,90.0
2015,2.664175,OAD,99.968506,26.0
2016,2.86243,OAD,77.75168,30.0
2017,2.6963842,OAD,81.92059,45.0
2018,2.3687096,OAD,80.304085,54.0
2019,2.5484061,OAD,67.34677,61.0
2020,5.491444,OAD,66.096275,96.0
2021,2.6084683,OAD,76.99903,41.0
2022,6.1471496,OAD,64.7861,20.0
2023,4.667463,OAD,58.573208,99.0
2024,5.6480083,OAD,58.370434,97.0
2025,4.8237567,OAD,61.30146,94.0
2026,6.923523,OAD,61.160297,89.0
2027,8.534284,OAD,61.62567,86.0
2028,4.4004,OAD,44.83176,90.0
2029,3.0001538,OAD,62.46343,99.0
2030,4.4759493,OAD,58.76058,90.0
2031,1.5328559,OAD,44.43889,99.0
2032,4.825074,OAD,38.122738,97.0
2033,1.5808419,OAD,46.55999,99.0
2034,3.399574,OAD,56.877808,76.0
2035,3.1703365,OAD,40.085747,95.0
2036,5.0759025,OAD,41.502655,99.0
2037,4.762748,OAD,40.009785,99.0
2038,3.7634594,OAD,40.34382,99.0
2039,2.8826904,OAD,43.193928,98.0
2040,2.8826904,OAD,43.193928,92.0
2041,2.8826904,OAD,43.193928,97.0
2042,4.3743753,OAD,43.3533,99.0
2043,2.8126848,OAD,51.324272,85.0
2044,2.747544,OAD,42.202187,92.0
2045,2.9168985,OAD,48.356316,99.0
2046,1.6264194,OAD,58.88064,99.0
2047,2.719557,OAD,59.798523,99.0
2048,4.581993,OAD,32.07094,61.0
2049,4.9611325,OAD,32.48017,82.0
2050,3.474854,OAD,38.45493,67.0
2051,5.5238953,OAD,49.613083,70.4
2052,6.660848,OAD,37.708908,82.0
2053,5.035689,OAD,54.68877,80.0
2054,4.9755106,OAD,52.18033,92.0
2055,5.7219114,OAD,48.775654,87.0
2056,4.7006865,OAD,55.550205,83.0
2057,3.362368,OAD,52.014133,90.0
2058,3.9329026,OAD,44.631187,94.0
2059,6.4801364,OAD,55.61606,74.0
2060,4.1115513,OAD,71.34304,86.0
2061,1.8129703,OAD,67.37684,80.0
2062,2.9618492,OAD,61.389595,99.0
2063,3.2320278,OAD,45.923256,66.75
2064,3.2714455,OAD,52.241573,98.0
2065,3.2195132,OAD,40.98798,82.0
2066,4.6714516,OAD,49.831707,69.0
2067,6.615931,OAD,42.978,61.0
2068,5.2570667,OAD,61.08472,73.0
2069,8.981804,OAD,29.622799,69.0
2070,3.3423862,OAD,44.68357,70.0
2071,2.4159226,OAD,60.425846,89.0
2072,2.3202035,OAD,58.69019,99.0
2073,2.2700968,OAD,73.68071,80.0
2074,3.8912463,OAD,63.75732,55.0
2075,1.2887073,IAD,70.856895,64.0
2076,4.1971316,OAD,61.73199,54.0
2077,2.2700968,OAD,73.68071,0.0
